datetime,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,temp,feelslike,humidity,precip,preciptype,snow,snowdepth,windspeed,cloudcover,visibility,conditions,icon
2021-10-02,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Sedan,66.9,66.9,61.0,0.0,none,0.0,0.0,13.9,0.9,9.8,Clear,clear-day
2021-10-03,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Pick-up Truck,None,70.6,70.6,71.2,0.0,none,0.0,0.0,8.1,17.0,9.5,Clear,clear-day
2021-10-04,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Van,69.0,69.0,86.9,0.035,rain,0.0,0.0,15.0,94.9,8.9,"Rain, Overcast",rain
2021-10-05,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,64.1,64.1,83.0,0.009,rain,0.0,0.0,13.8,100.0,9.9,"Rain, Overcast",rain
2021-10-06,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Station Wagon/Sport Utility Vehicle,None,66.6,66.6,78.0,0.0,none,0.0,0.0,7.9,99.0,9.9,Overcast,cloudy
2021-10-07,1.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,E-Scooter,None,69.4,69.4,77.1,0.0,none,0.0,0.0,6.7,61.0,9.9,Partially cloudy,partly-cloudy-day
2021-10-08,1.0,0.0,1,0,0,0,0,0,View Obstructed/Limited,None,Pick-up Truck,None,69.9,69.9,76.4,0.009,rain,0.0,0.0,10.2,37.5,9.1,"Rain, Partially cloudy",rain
2021-10-09,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,65.9,65.9,75.2,0.0,none,0.0,0.0,16.9,83.6,9.8,Partially cloudy,partly-cloudy-day
2021-10-10,1.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unsafe Speed,Sedan,E-Bike,65.0,65.0,84.7,0.052,rain,0.0,0.0,18.2,97.9,9.5,"Rain, Overcast",rain
2021-10-11,0.0,0.0,0,0,0,0,0,0,Other Vehicular,None,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,67.9,67.9,74.0,0.009,rain,0.0,0.0,20.3,75.4,9.9,"Rain, Partially cloudy",rain
2021-10-12,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Sedan,None,66.9,66.9,78.3,0.0,none,0.0,0.0,11.2,67.4,9.9,Partially cloudy,partly-cloudy-day
2021-10-13,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,E-Bike,Motorscooter,67.2,67.2,82.0,0.0,none,0.0,0.0,6.6,93.6,9.9,Overcast,cloudy
2021-10-14,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,None,Taxi,None,71.4,71.5,70.0,0.046,rain,0.0,0.0,8.1,25.5,9.7,"Rain, Partially cloudy",rain
2021-10-15,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Box Truck,72.3,72.4,68.9,0.0,none,0.0,0.0,6.8,2.5,9.9,Clear,clear-day
2021-10-16,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,70.5,70.5,72.8,0.087,rain,0.0,0.0,13.7,54.7,9.8,"Rain, Partially cloudy",rain
2021-10-17,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Sedan,None,59.4,59.4,68.1,0.019,rain,0.0,0.0,15.6,42.3,9.9,"Rain, Partially cloudy",rain
2021-10-18,1.0,0.0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,Tractor Truck Diesel,Station Wagon/Sport Utility Vehicle,55.9,55.9,61.0,0.0,none,0.0,0.0,12.4,43.8,9.9,Partially cloudy,partly-cloudy-day
2021-10-19,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,None,Station Wagon/Sport Utility Vehicle,None,59.1,58.8,56.1,0.0,none,0.0,0.0,15.0,6.4,9.9,Clear,clear-day
2021-10-20,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,None,Bus,None,67.9,67.9,53.8,0.0,none,0.0,0.0,11.5,6.3,9.9,Clear,clear-day
2021-10-21,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Sedan,None,67.8,67.8,62.8,0.0,none,0.0,0.0,12.2,2.9,9.9,Clear,clear-day
2021-10-22,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Oversized Vehicle,Sedan,None,66.2,66.2,63.8,0.0,none,0.0,0.0,12.5,51.4,9.9,Partially cloudy,partly-cloudy-day
2021-10-23,1.0,0.0,0,0,0,0,1,0,Driver Inexperience,Unspecified,Sedan,Moped,57.8,57.8,64.6,0.0,none,0.0,0.0,11.2,79.2,9.9,Partially cloudy,partly-cloudy-day
